case_id,name,category,split,chain,tx_hash,date,loss,complexity,benchmark_calls,benchmark_max_depth,benchmark_cause,gt_vuln_contracts,gt_vuln_functions
C11,MetaLend,arithmetic,test,eth,0x4c684fb2618c29743531dec9253ede1b757bda0b323dc2f305e3b50ab1773da7,2023-11-25,~$4K,Exceptionally Complex,227,15,CompoundV2 Inflation Attack,0x5578f2e245e932a599c46215a0ca88707230f17b,redeemUnderlying
C12,Balancer,arithmetic,test,eth,0x2a027c8b915c3737942f512fc5d26fd15752d0332353b3059de771a35a606c2d,2023-08-27,~$2M,Exceptionally Complex,267,12,Rounding Error && Business Logic Flaw,0x9210f1204b5a24742eba12f710636d76240df3d0,onSwap
C13,HedgeyFinance,business_logic,dev,eth,0x2606d459a50ca4920722a111745c2eeced1d8a01ff25ee762e22d5d4b1595739,2024-04-19,48M USD,Moderate,9,4,Logic Flaw,0x43506849d7c04f9138d1a2050bbf3a0c054402dd;0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,transferFrom
C14,WIFCOIN_ETH,business_logic,test,eth,0xda8f6a4bed7e5689a343d111632d37480c0316f1d20b732803c4bd482823e284,2024-06-16,~3.4 ETH (WIF token),Complex,33,5,business logic flaw,0xa1ce40702e15d0417a6c74d0bab96772f36f4e99,stake
C15,DAppSocial,business_logic,test,eth,0xbd72bccec6dd824f8cac5d9a3a2364794c9272d7f7348d074b580e3c6e44312e,2023-09-02,~$16K,Complex,71,6,Business Logic Flaw,0x319ec3ad98cf8b12a8be5719fec6e0a9bb1ad0d1,LockTokens
C16,EulerFinance,business_logic,test,eth,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,2023-03-13,~$200M,Exceptionally Complex,258,13,Business Logic Flaw,0xe025e3ca2be02316033184551d4d3aa22024d9dc,donateToReserves
C17,Formation.Fi,price_oracle_manipulation,dev,eth,0xa992b28ecf2eed778d20d5200946ea341b950be0c3d78b1f2237a4d8d795de95,2021-11-20,,Complex,31,6,Flashloan,0xcb6afdc84e8949ddf49ab00b5b351a5b0f65a723,swapIn
C18,MorphoBlue,price_oracle_manipulation,test,eth,0x256979ae169abb7fbbbbc14188742f4b9debf48b48ad5b5207cadcc99ccb493b,2024-10-13,"$230,000",Complex,51,8,Overpriced Asset in Oracle,0xbbbbbbbbbb9cc5e90e3b3af64bdaf62c37eeffcb,borrow
C19,VINU,price_oracle_manipulation,test,eth,0xaf46a42fe1ed7193b25c523723dc047c7500e50a00ecb7bbb822d665adb3e1f3,2023-06-06,~$6k,Complex,96,6,Price Manipulation,0xf7ef0d57277ad6c2babf87ab64ba61abdd2590d2,addLiquidityETH
C20,Kashi,price_oracle_manipulation,test,eth,0x3d163bfbec5686d428a6d43e45e2626a220cc4fcfac7620c620b82c1f2537c78,2022-11-08,$110k,Complex,146,10,Price-caching Design Defect,0xf5bce5077908a1b7370b9ae04adc565ebd643966,withdraw
C21,JAY,reentrancy,dev,eth,0xd4fafa1261f6e4f9c8543228a67caf9d02811e4ad3058a2714323964a8db61f6,2022-12-29,,Complex,49,7,Reentrancy,0xf2919d1d80aff2940274014bef534f7791906ff2,buyJay
C22,Orion Protocol,reentrancy,test,eth,0xa6f63fcb6bec8818864d96a5b1bb19e8bd85ee37b2cc916412e720988440b2aa,2023-02-02,$3M,Complex,155,14,Reentrancy,0x420a50a62b17c18b36c64478784536ba980feac8,doSwapThroughOrionPool
C23,DFXFinance,reentrancy,test,eth,0x6bfd9e286e37061ed279e4f139fbc03c8bd707a2cdd15f7260549052cbba79b7,2022-11-10,$4M,Complex,185,9,Reentrancy,0x46161158b1947d9149e066d6d31af1283b2d377c,flash;deposit
C24,Game,reentrancy,test,eth,0x0eb8f8d148508e752d9643ccf49ac4cb0c21cbad346b5bbcf2d06974d31bd5c4,2024-02-12,~20 ETH,Complex,168,83,Reentrancy && Business Logic Flaw,0x52d69c67536f55efefe02941868e5e762538dbd6,makeBid
C25,TINU,token_specific,dev,eth,0x6200bf5c43c214caa1177c3676293442059b4f39eb5dbae6cfd4e6ad16305668,2023-01-26,22 ETH,Complex,66,7,Reflection token,0x2d0e64b6bf13660a4c0de42a0b88144a7c10991f,deliver
C26,BUNN,token_specific,test,bsc,0x24a68d2a4bbb02f398d3601acfd87b09f543d935fc24862c314aaf64c295acdb,2023-06-21,~52BNB,Exceptionally Complex,39,5,Reflection tokens,0xc54aaecf5fa1b6c007d019a9d14dfb4a77cc3039,deliver
C27,FDP,token_specific,test,bsc,0x09925028ce5d6a54801d04ff8f39e79af6c24289e84b301ddcdb6adfa51e901b,2023-02-06,~16 WBNB,Complex,67,7,Reflection token,0x1954b6bd198c29c3ecf2d6f6bc70a4d41ea1cc07,deliver
C28,NUM,token_specific,test,eth,0x8a8145ab28b5d2a2e61d74c02c12350731f479b3175893de2014124f998bff32,2022-11-23,$13k,Complex,101,9,Protocol Token incompatible,0x765277eebeca2e31912c9946eae1021199b39c61,anySwapOutUnderlyingWithPermit
